synonym,decision,note
Mycobacterium abscessus,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Mycobacterium abscessus TaxID=36809 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Neisseria polysaccharea,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Neisseria polysaccharea TaxID=489 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Cereibacter sphaeroides 2.4.1,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Cereibacter sphaeroides 2.4.1 TaxID=272943 rank=strain superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Staphylococcus capitis,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Staphylococcus capitis TaxID=29388 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Cyanobacterium stanieri,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Cyanobacterium stanieri TaxID=102235 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Uncultured virus,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Uncultured virus TaxID=340016 rank=species superkingdom=Viruses. Previous note: NCBI Taxonomy name2taxid reviewed import
Nostoc flagelliforme FACHB-838,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Nostoc flagelliforme FACHB-838 TaxID=2692904 rank=strain superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Rhodococcus sp. DK17,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Rhodococcus sp. DK17 TaxID=186196 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Neisseria subflava,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Neisseria subflava TaxID=28449 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Nostocales cyanobacterium HT-58-2,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Nostocales cyanobacterium HT-58-2 TaxID=1940762 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Enterococcus faecium,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Enterococcus faecium TaxID=1352 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Vibrio parahaemolyticus,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Vibrio parahaemolyticus TaxID=670 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Vibrio alginolyticus,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Vibrio alginolyticus TaxID=663 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Calothrix membranacea FACHB-236,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Calothrix membranacea FACHB-236 TaxID=2692895 rank=strain superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Neisseria meningitidis,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Neisseria meningitidis TaxID=487 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Actinoplanes sp.,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Actinoplanes sp. TaxID=1871 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Microcystis aeruginosa FACHB-905,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Microcystis aeruginosa FACHB-905 TaxID=267865 rank=strain superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Stenotrophomonas sp.,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Stenotrophomonas sp. TaxID=69392 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Pseudomonas sp. 286,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Pseudomonas sp. 286 TaxID=33069 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Corynebacterium ulcerans,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Corynebacterium ulcerans TaxID=65058 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Limnospira platensis,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Limnospira platensis TaxID=118562 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Helicobacter pylori,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Helicobacter pylori TaxID=210 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Schaalia odontolytica,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Schaalia odontolytica TaxID=1660 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Gordonia amarae,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Gordonia amarae TaxID=36821 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Nostoc linckia FACHB-391,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Nostoc linckia FACHB-391 TaxID=2692906 rank=strain superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Vibrio hippocampi,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Vibrio hippocampi TaxID=654686 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Nostoc flagelliforme,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Nostoc flagelliforme TaxID=1306274 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Arthrospira sp.,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Arthrospira sp. TaxID=35824 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Treponema pallidum subsp. pallidum SS14,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Treponema pallidum subsp. pallidum SS14 TaxID=455434 rank=strain superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Nostoc sp. FACHB-973,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Nostoc sp. FACHB-973 TaxID=2692844 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Acinetobacter junii,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Acinetobacter junii TaxID=40215 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Burkholderia gladioli,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Burkholderia gladioli TaxID=28095 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Neisseria lactamica,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Neisseria lactamica TaxID=486 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Neisseria benedictiae,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Neisseria benedictiae TaxID=2830649 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Neisseria blantyrii,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Neisseria blantyrii TaxID=2830647 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Synechococcus sp. CBW1107,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Synechococcus sp. CBW1107 TaxID=2789857 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Klebsiella sp.,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Klebsiella sp. TaxID=576 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Klebsiella oxytoca,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Klebsiella oxytoca TaxID=571 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Trichodesmium erythraeum IMS101,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Trichodesmium erythraeum IMS101 TaxID=203124 rank=strain superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Acinetobacter baumannii,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Acinetobacter baumannii TaxID=470 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Shigella boydii,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Shigella boydii TaxID=621 rank=species superkingdom=Bacteria. Previous note: NCBI Taxonomy name2taxid reviewed import
Prochlorococcus,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Prochlorococcus TaxID=1218 rank=genus superkingdom=Bacteria. Previous note: post-audit cyanobacterial host/source mapping 2026-04-28
bacteria,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Bacteria TaxID=2 rank=domain superkingdom=Bacteria. Previous note: broad host/symbiont group review 2026-04-29; rank=superkingdom
Actinobacteria,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Actinomycetota TaxID=201174 rank=phylum superkingdom=Bacteria. Previous note: broad bacterial host/symbiont group review 2026-04-29; rank=phylum
Wolbachia,non_host_source,Microbial host audit 2026-06-10: Bacterial/archaeal/viral lineage is not a default Host_SD. Previous Host_SD=Wolbachia TaxID=953 rank=genus superkingdom=Bacteria. Previous note: bacterial host/symbiont group review 2026-04-29; rank=genus
dung beetle,non_host_source,Microbial host audit 2026-06-10: Canonical/common label appears eukaryotic but TaxID lineage is microbial. Previous Host_SD=Scarabaeoidea TaxID=208436 rank=species superkingdom=Bacteria. Previous note: Curated mapping from cluster instruction/common host name.
invertebrate,not_identifiable,Reviewed context-only broad host label. Preserve Host_Context_SD without forcing Host_SD.
invertebrates,not_identifiable,Reviewed context-only broad host label. Preserve Host_Context_SD without forcing Host_SD.
mudfish,not_identifiable,Ambiguous common fish label; preserve context only. Preserve Host_Context_SD without forcing Host_SD.
fish,not_identifiable,Reviewed broad biological context label. Preserve Host_Context_SD without forcing Host_SD.
algae,not_identifiable,Reviewed broad algal context; do not force Host_SD. Preserve Host_Context_SD without forcing Host_SD.
lichen,not_identifiable,Reviewed broad lichen context; do not force Host_SD. Preserve Host_Context_SD without forcing Host_SD.
zooplankton,not_identifiable,Reviewed broad zooplankton context. Preserve Host_Context_SD without forcing Host_SD.
