count,host_original,host_sd,taxid,host_method
1,Rectal swab of cattle in slaughterhouse,Bos taurus,9913,context_cleaned_match
1,chicken feces houseback,Gallus gallus,9031,context_cleaned_match
1,bean water source,Phaseolus,3883,context_broad_dictionary
1,cow fecal manure,Bos taurus,9913,context_cleaned_match
1,human skin metagenome,Homo sapiens,9606,dictionary
1,"Faecal sample from Eastern grey kangaroo, Macropus giganteus",Macropodidae,9307,context_broad_dictionary
1,"Fish tank water, 31.8 degrees Celsius",Actinopterygii,7898,context_broad_dictionary
1,Cheese produced from raw cow's milk,Bos taurus,9913,context_cleaned_match
1,Milk from cow with mastitis,Bos taurus,9913,context_cleaned_match
1,Fish parts (slab) sold as snakehead-toman; Surface swab,Actinopterygii,7898,context_broad_dictionary
1,Whole fish sold as black tilapia; Surface swab,Actinopterygii,7898,context_broad_dictionary
1,Fish part (head) sold as Asian bighead carp; Surface swab,Actinopterygii,7898,context_broad_dictionary
1,fermented yak milk,Bos grunniens,30521,context_cleaned_match
1,tissue from oliver flounder,Pleuronectiformes,8252,context_broad_dictionary
1,suusac fermented camel milk,Camelus dromedarius,9838,context_cleaned_match
1,blood of a 58-year-old endometrial cancer patient who had type 2 diabetes mellitus and relapsed after radiotherapy with multiple metastases to the lungs and abdominal cavity,Homo sapiens,9606,context_dictionary
1,24 hour old goat milk,Capra hircus,9925,context_cleaned_match
1,Dahi traditional fermented cow milk,Bos taurus,9913,context_cleaned_match
1,cow milk with mastilis pathology,Bos taurus,9913,context_cleaned_match
1,human sample,Homo sapiens,9606,context_cleaned_match
1,Goose feces,Anser anser,8843,context_cleaned_match
1,Falcon feces,Aves,8782,context_broad_dictionary
1,diarrheic stool of a child,Homo sapiens,9606,context_dictionary
1,"Herring gull cloacal swab, Larus argintatus",Laridae,8911,context_broad_dictionary
1,Milk Milk-raw bovine,Bos taurus,9913,context_cleaned_match
1,Milk Raw Cow Milk,Bos taurus,9913,context_cleaned_match
1,raw retail cow milk,Bos taurus,9913,context_cleaned_match
1,Bacteria Culture,Bacteria,2,context_dictionary
1,Turkey feces,Meleagris gallopavo,9103,context_cleaned_match
1,raw cream from cow milk,Bos taurus,9913,context_cleaned_match
1,Water in turkey house,Meleagris gallopavo,9103,context_cleaned_match
1,"Goat, fecal",Capra hircus,9925,context_cleaned_match
1,"Wild pig, fecal",Sus scrofa,9823,context_cleaned_match
1,"Alpaca, fecal",Vicugna pacos,30538,context_cleaned_match
1,"Poultry House, faecal",Aves,8782,broad_dictionary
1,Swine stool,Sus scrofa,9823,context_cleaned_match
1,Chicken feces (Gallus gallus),Gallus gallus,9031,context_cleaned_match
1,"Domestic goose, fecal",Anser anser,8843,context_cleaned_match
1,"Herring gull, cloacal swab",Laridae,8911,context_broad_dictionary
1,Monkey living indoor room floor swab,Simiiformes,314293,context_broad_dictionary
1,bulk tank bovine milk,Bos taurus,9913,context_cleaned_match
1,Mastitic bovine milk,Bos taurus,9913,context_cleaned_match
1,goat farm nasal swab,Capra hircus,9925,context_cleaned_match
1,human feces patient 2 outbreak technical replicate 4,Homo sapiens,9606,context_cleaned_match
1,human feces patient 2 outbreak technical replicate 3,Homo sapiens,9606,context_cleaned_match
1,human feces patient 2 outbreak technical replicate 1,Homo sapiens,9606,context_cleaned_match
1,human feces patient 2 outbreak technical replicate 2,Homo sapiens,9606,context_cleaned_match
1,Pig nasal swab,Sus scrofa,9823,context_cleaned_match
1,Dairy Goat Milk,Capra hircus,9925,context_cleaned_match
1,"Human faeces of child with acute, non-specific diarrhea",Homo sapiens,9606,context_cleaned_match
1,Feces of Gorilla beringei beringei,Gorilla,9592,context_broad_dictionary
1,raw camel milk,Camelus dromedarius,9838,context_cleaned_match
1,Pig (nasal swab),Sus scrofa,9823,context_dictionary
1,Sample Goose Intestine,Anser anser,8843,context_cleaned_match
1,canine draining tract swab,Canis lupus familiaris,9615,context_cleaned_match
1,canine lesion swab,Canis lupus familiaris,9615,context_cleaned_match
1,canine incision swab,Canis lupus familiaris,9615,context_cleaned_match
1,canine nasal swab,Canis lupus familiaris,9615,context_cleaned_match
1,Canine Blood (Canis lupus familiaris),Canis lupus familiaris,9615,context_cleaned_match
1,retail cow milk,Bos taurus,9913,context_cleaned_match
1,Sheep placental tissue,Ovis aries,9940,context_cleaned_match
1,Buffalo Milk,Bubalus bubalis,89462,context_broad_dictionary
1,Animal faecal matter,Metazoa,33208,context_broad_dictionary
1,isolated from blood of a patient with liver abscess and meningitis,Homo sapiens,9606,context_dictionary
1,the surface of the patient's locker,Homo sapiens,9606,context_dictionary
1,Feces of mice,Murinae,39107,context_broad_dictionary
1,lettuce leaf sample,Lactuca sativa,4236,context_broad_dictionary
1,bovine mastitis milk,Bos taurus,9913,context_cleaned_match
1,water samples from chicken farms,Gallus gallus,9031,context_cleaned_match
1,anal swab of chicken,Gallus gallus,9031,context_cleaned_match
1,"Feces, Gull (Larus cachinnans)",Laridae,8911,context_broad_dictionary
1,cancer patient stool,Homo sapiens,9606,context_dictionary
1,adult insects fed liquid diet (100% cellulose matrix soaked in 11% saccharose in water),Homo sapiens,9606,context_dictionary
1,animal gut,Metazoa,33208,context_broad_dictionary
1,milk from dairy animals with mastitis,Metazoa,33208,context_broad_dictionary
1,environment contaminated by Homo sapiens patients,Homo sapiens,9606,context_cleaned_match
1,Psittacus erithacus feces,psittacus,13239,context_broad_dictionary
1,wild yak feces,Bos grunniens,30521,context_cleaned_match
1,a blood sample of swine origin,Sus scrofa,9823,context_cleaned_match
1,non mosquito Diptera environment,Culicidae,7157,context_broad_dictionary
1,feline tissue,Felis catus,9685,context_cleaned_match
1,gut of black soldier fly larvae,Diptera,7147,context_broad_dictionary
1,water from livestock farm,Mammalia,40674,context_broad_dictionary
1,Raw Jersey bovine milk beer washed tomme cheese,Bos taurus,9913,context_cleaned_match
1,meat plant,Viridiplantae,33090,broad_dictionary
1,"mammal, other: Fecal",Mammalia,40674,context_broad_dictionary
1,"animal, non-clinical: Intestinal content of Clethrionomys glareolus",Metazoa,33208,context_broad_dictionary
1,raw milk: raw sheep's milk,Ovis aries,9940,context_cleaned_match
1,whole raw cow milk,Bos taurus,9913,context_cleaned_match
1,cabbage PBS wash water,Brassica oleracea,3712,context_broad_dictionary
1,Mushroom environment,Agaricales,5338,context_broad_dictionary
1,Milk - Raw Bovine,Bos taurus,9913,context_cleaned_match
1,raw sheep milk,Ovis aries,9940,cleaned_match
1,"""swab, orange transport dolly""",Citrus sinensis,2711,context_cleaned_match
1,Tissue of rabbit,Oryctolagus cuniculus,9986,context_cleaned_match
1,swab cutting board-raw poultry,Aves,8782,context_broad_dictionary
1,duck stream water,Anas platyrhynchos,8839,context_cleaned_match
1,Raw camel milk,Camelus dromedarius,9838,context_cleaned_match
1,swab of tray for fish,Actinopterygii,7898,context_broad_dictionary
1,"Raw Milk, Bovine",Bos taurus,9913,context_cleaned_match
1,composted poultry manure,Aves,8782,context_broad_dictionary
1,Milk- Raw Bovine Milk - Raw Bovine,Bos taurus,9913,context_cleaned_match
1,Milk sample from reservoir of milking cow (animal),Bos taurus,9913,context_cleaned_match
1,Dairy plant (environmental),Viridiplantae,33090,context_broad_dictionary
1,Cattle farm water,Bos taurus,9913,context_cleaned_match
1,fresh water crayfish,Astacidea,6724,context_broad_dictionary
1,sheep milk ricotta cheese,Ovis aries,9940,context_cleaned_match
1,animal tissue,Metazoa,33208,context_broad_dictionary
1,milk bovine,Bos taurus,9913,context_cleaned_match
1,Poultry sample from Republic of Moldavia,Aves,8782,context_broad_dictionary
1,beef sausage sample from Turkey,Meleagris gallopavo,9103,context_cleaned_match
1,cow milk cheese,Bos taurus,9913,context_cleaned_match
1,raw milk - goat,Capra hircus,9925,context_cleaned_match
1,rabbit tissue (derivative of EGD strain),Oryctolagus cuniculus,9986,context_cleaned_match
1,human blood culture,Homo sapiens,9606,context_cleaned_match
1,Intestinal contents of plateau pika,Ochotona,9977,context_broad_dictionary
1,Moss on a rocky surface,Bryophyta,3208,context_broad_dictionary
1,Enriched cattle feces,Bos taurus,9913,context_cleaned_match
1,Human urine,Homo sapiens,9606,dictionary
1,goose feces on soil,Anser anser,8843,context_cleaned_match
1,Downstream water from sink in patient's room 44,Homo sapiens,9606,context_dictionary
1,Water from sink in patient's room 32,Homo sapiens,9606,context_dictionary
1,migratory bird stool,Aves,8782,context_broad_dictionary
1,Plant-associated environment,Viridiplantae,33090,context_broad_dictionary
1,a feces sample of migratory birds origin,Aves,8782,context_broad_dictionary
1,microalgae culture,Viridiplantae,33090,context_broad_dictionary
1,Potato tuber surface,Solanum tuberosum,4113,context_cleaned_match
1,Buffalo raw milk refrigeration tanks,Bubalus bubalis,89462,context_broad_dictionary
1,"root surface of cotton, Charles Howell",Gossypium,3633,context_broad_dictionary
1,water lily,Lilium,4688,context_broad_dictionary
1,horse trough water,Equus caballus,9796,context_cleaned_match
1,horse water trough,Equus caballus,9796,context_cleaned_match
1,"mosquito gut, after a blood meal",Culicidae,7157,context_broad_dictionary
1,from the surface coat protein of pine wood nematode,Nematoda,6231,context_broad_dictionary
1,"Water bottle, Animal room",Metazoa,33208,context_broad_dictionary
1,"water bottle, animal room",Metazoa,33208,context_broad_dictionary
1,Mulberry blight tissue,Morus,3497,context_broad_dictionary
1,fish tissue,Actinopterygii,7898,context_broad_dictionary
1,fine largemouth bass breeding body of water,Actinopterygii,7898,context_broad_dictionary
1,"Intestinal tract of a honey bee, Apis mellifera",Apis mellifera,7460,context_cleaned_match
1,cattle raw milk,Bos taurus,9913,context_cleaned_match
1,Cow Faeces: Organized dairy production system,Bos taurus,9913,context_cleaned_match
1,"Faecal sample from Red-necked wallaby, Notamacropus rufogriseus",Macropodidae,9307,context_broad_dictionary
1,"Fresh cabbage sample collected from a public market in Santo Domingo, Dominican Republic.",Brassica oleracea,3712,context_broad_dictionary
1,feces of beef cattle,Bos taurus,9913,context_cleaned_match
1,"veterinary teaching equine hospital, swab from a drawer in a surgical unit",Equus caballus,9796,context_cleaned_match
1,Livestock manure and biogas slurry,Mammalia,40674,context_broad_dictionary
1,fecal of pig,Sus scrofa,9823,context_cleaned_match
1,the feces of a colorectal cancer patient,Homo sapiens,9606,context_dictionary
1,Sheep - fecal,Ovis aries,9940,context_cleaned_match
1,environment of live poultry market,Aves,8782,context_broad_dictionary
1,HUMAN BREAST MILK,Homo sapiens,9606,context_dictionary
1,Contaminant of pasteurized cow's milk,Bos taurus,9913,context_cleaned_match
1,traditionally fermented mare's milk (koumiss),Equus caballus,9796,context_broad_dictionary
1,bovine milk 1,Bos taurus,9913,context_cleaned_match
1,bovine milk 2,Bos taurus,9913,context_cleaned_match
1,vulture feces,Aves,8782,context_broad_dictionary
1,dairy cattle fecal,Bos taurus,9913,context_cleaned_match
1,blood of a hospitalized patient,Homo sapiens,9606,context_dictionary
1,Fermented sheep milk,Ovis aries,9940,context_cleaned_match
1,water purification plant,Viridiplantae,33090,context_broad_dictionary
1,Infant faeces,Homo sapiens,9606,context_dictionary
1,Sour yak milk,Bos grunniens,30521,context_cleaned_match
1,Fresh mare's milk,Equus caballus,9796,context_broad_dictionary
1,Pakistani water buffalo,Bubalus bubalis,89462,cleaned_match
1,rectal swab samples of pig,Sus scrofa,9823,context_cleaned_match
1,swab sample of pig,Sus scrofa,9823,context_cleaned_match
1,fresh water sturgeon tank,Acipenseridae,7902,context_broad_dictionary
1,human blood,Homo sapiens,9606,dictionary
1,fish gut; co-assembled from multi-host: Culter oxycephaloides;Silurus asotus;Xenocypris davidi;Xenocypris fangi;Distoechodon tumirostris,Actinopterygii,7898,context_broad_dictionary
1,Kelp after surface disinfection,Phaeophyceae,2870,context_broad_dictionary
1,animal-associated environment [ENVO:01001002],Metazoa,33208,context_broad_dictionary
1,Water for soft-shelled turtle,Testudines,8459,context_broad_dictionary
1,fish farm water sample,Actinopterygii,7898,context_broad_dictionary
1,stool of 63 year old male,Homo sapiens,9606,context_dictionary
1,migratory birds feces,Aves,8782,context_broad_dictionary
1,Inner surface of containers in a mollusc hatchery,Mollusca,6447,context_broad_dictionary
1,"Surface wound of a diseased fine flounder, Paralichthys adspersus",Pleuronectiformes,8252,context_broad_dictionary
1,"Healthy culture Manila clam, Ruditapes philippinarum",Veneroida,6565,context_broad_dictionary
1,kelp frond surface,Phaeophyceae,2870,context_broad_dictionary
1,kelp tissue,Phaeophyceae,2870,context_broad_dictionary
