field	standardized_value	semantic_class	proposed_destination	reason	assembly_accession	biosample	organism	raw_attribute_name	raw_value	Host	Host_SD	Host_Context_SD	Host_Disease_SD	Host_Health_State_SD	Host_Production_Context_SD	Host_Anatomical_Site_SD	Isolation Source	Isolation_Source_SD	Isolation_Source_SD_Broad	Sample Type	Sample_Type_SD	Sample_Type_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Medium_SD_Broad	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Collection Date	Country
Sample_Type_SD	rectal/cloacal/perianal swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_002094795.1	SAMN06675396	Pseudomonas putida	Host	chicken	chicken	Gallus gallus					gastrointestinal tract	cloaca swab	clinical/host-associated material	clinical/host-associated material		rectal/cloacal/perianal swab	swab	gastrointestinal tract					2014	China
Isolation_Source_SD	gastric lavage	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_002101675.1	SAMN04216929	Mycobacterium gordonae	Isolation Source	gastric lavage	Homo sapiens	Homo sapiens						gastric lavage	gastric lavage										absent	absent
Isolation_Source_SD	gastric lavage	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_002102175.1	SAMN04216928	Mycobacterium gastri	Isolation Source	gastric lavage	Homo sapiens	Homo sapiens						gastric lavage	gastric lavage										absent	absent
Isolation_Source_SD	Broncho-Alveolar Lavage	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_002150525.1	SAMN06191597	Klebsiella pneumoniae	Isolation Source	Broncho-Alveolar Lavage	Homo sapiens	Homo sapiens						Broncho-Alveolar Lavage	Broncho-Alveolar Lavage										2014	Italy
Isolation_Source_SD	Broncho-Alveolar Lavage	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_002150665.1	SAMN06191600	Klebsiella pneumoniae	Isolation Source	Broncho-Alveolar Lavage	Homo sapiens	Homo sapiens						Broncho-Alveolar Lavage	Broncho-Alveolar Lavage										2014	Italy
Isolation_Source_SD	Bronchoalvelar lavage (BAL)	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_002165535.1	SAMN05173299	Enterobacter kobei	Isolation Source	Bronchoalvelar lavage (BAL)	Homo sapiens	Homo sapiens						Bronchoalvelar lavage (BAL)	Bronchoalvelar lavage (BAL)										2011	China
Sample_Type_SD	rhizosphere	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_002215075.1	SAMN06028204	Brevibacillus formosus	Host	kiwi fruit plant rhizosphere	kiwi fruit plant rhizosphere							soil	environmental material	environmental material	missing	rhizosphere	plant-associated material		soil	soil	terrestrial environment		2012	China
Sample_Type_SD	rhizosphere	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_002233715.1	SAMN07125953	Rhodococcus erythropolis	Sample Type	rhizosphere sample	Salix atrocinerea	Salix atrocinerea									rhizosphere sample	rhizosphere	plant-associated material	plant root/rhizosphere	soil	soil	plant-associated environment		2014	Spain
Isolation_Source_SD	broncoalveolar lavage	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_002235035.1	SAMN06917660	Klebsiella pneumoniae	Isolation Source	broncoalveolar lavage	Homo sapiens	Homo sapiens						broncoalveolar lavage	broncoalveolar lavage										2014	Italy
Isolation_Source_SD	purulent material	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_002235155.1	SAMN06917652	Klebsiella pneumoniae	Isolation Source	purulent material	Homo sapiens	Homo sapiens						purulent material	purulent material										2013	Italy
Isolation_Source_SD	broncoalveolar lavage	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_002235395.1	SAMN06917636	Klebsiella pneumoniae	Isolation Source	broncoalveolar lavage	Homo sapiens	Homo sapiens						broncoalveolar lavage	broncoalveolar lavage										2013	Italy
Isolation_Source_SD	broncoalveolar lavage	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_002235535.1	SAMN06917629	Klebsiella pneumoniae	Isolation Source	broncoalveolar lavage	Homo sapiens	Homo sapiens						broncoalveolar lavage	broncoalveolar lavage										2013	Italy
Sample_Type_SD	wound/lesion/abscess swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_002236345.1	SAMN06917614	Klebsiella pneumoniae	Host	Homo sapiens	Homo sapiens	Homo sapiens						sacral ulcer swab	clinical fluid/material	clinical fluid/material		wound/lesion/abscess swab	clinical fluid/material						2012	Italy
Sample_Type_SD	eye swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_002249615.1	SAMN02691894	Streptococcus pneumoniae E709	Host	Homo sapiens	Homo sapiens	Homo sapiens						ocular swab	clinical/host-associated material	clinical/host-associated material		eye swab	swab	organ/tissue site					2013	United States
Sample_Type_SD	eye swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_002249685.1	SAMN02691895	Streptococcus pneumoniae K2521	Host	Homo sapiens	Homo sapiens	Homo sapiens						ocular swab	clinical/host-associated material	clinical/host-associated material		eye swab	swab	organ/tissue site					2013	United States
Isolation_Source_SD	lavage	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_002250685.1	SAMN07414881	Serratia marcescens	Isolation Source	lavage	Homo sapiens	Homo sapiens		respiratory disease	diseased			lavage	lavage										2017	Austria
Sample_Type_SD	saline water	environment_medium	Environment_Medium_SD	Environmental terms should not be physical sample type values.	GCA_002286845.1	SAMN07522602	Geitlerinema sp. FC II	Isolation Source	Saline water	absent							Saline water	environmental material	environmental material	whole organism	saline water	water		saline/brine water	water			2013	India
Sample_Type_SD	rectal/cloacal/perianal swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_002812365.1	SAMN07503096	Klebsiella pneumoniae	Host	Homo sapiens	Homo sapiens	Homo sapiens						Sacral swab	clinical/host-associated material	clinical/host-associated material		rectal/cloacal/perianal swab	swab						2014	Australia
Sample_Type_SD	feed/fodder	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_002848385.1	SAMN08174306	Enterococcus faecium	Isolation Source	fodder	absent							fodder	clinical/host-associated material	clinical/host-associated material		feed/fodder							2016	China
Sample_Type_SD	rectal/perianal swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_002915085.1	SAMN07839710	Escherichia coli	Host	Cervus elaphus	Cervus elaphus	Cervus elaphus					rectum/perianal region	Recto-anal Mucosal Swab (RAMS)	clinical/host-associated material	clinical/host-associated material		rectal/perianal swab	swab	rectum/perianal region					2014	New Zealand
Sample_Type_SD	rectal/perianal swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_002915105.1	SAMN07839708	Escherichia coli	Host	Cervus elaphus	Cervus elaphus	Cervus elaphus					rectum/perianal region	Recto-anal Mucosal Swab (RAMS)	clinical/host-associated material	clinical/host-associated material		rectal/perianal swab	swab	rectum/perianal region					2014	New Zealand
Sample_Type_SD	rectal/perianal swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_002915115.1	SAMN07839709	Escherichia coli	Host	Cervus elaphus	Cervus elaphus	Cervus elaphus					rectum/perianal region	Recto-anal Mucosal Swab (RAMS)	clinical/host-associated material	clinical/host-associated material		rectal/perianal swab	swab	rectum/perianal region					2014	New Zealand
Sample_Type_SD	clinical material	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_002925805.1	SAMN08436979	Enterobacter cloacae complex sp.	Isolation Source	clinical material	Homo sapiens	Homo sapiens		infectious disease	diseased			clinical material	clinical sample	clinical/host-associated material		clinical material	clinical/host-associated material				clinical/host-associated material		2012	Czech Republic
Sample_Type_SD	estuary	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_002949975.1	SAMN08475992	Pseudomonas sp. LH1G9	Isolation Source	estuary	absent							estuary	environmental material	environmental material		estuary	water				estuarine environment	estuary	2016	Hungary
Isolation_Source_SD	biopsy	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_002983705.1	SAMN06173313	Helicobacter pylori	Host	Homo sapiens	Homo sapiens	Homo sapiens			patient			duodenal ulcer from patient in Tennessee	biopsy	clinical/host-associated material									1994	United States
Isolation_Source_SD	milk	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_003023825.1	SAMN08741665	Lactiplantibacillus plantarum	Isolation Source	milk sample	absent							milk sample	milk	food/dairy	whole organism								2016	India
Isolation_Source_SD	biogas reactor content	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_003052365.1	SAMN08667745	Coprothermobacter proteolyticus	Isolation Source	biogas reactor content	absent							biogas reactor content	biogas reactor content										2017	Norway
Isolation_Source_SD	biogas reactor content	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_003052375.1	SAMN08667746	Coprothermobacter proteolyticus	Isolation Source	biogas reactor content	absent							biogas reactor content	biogas reactor content										2017	Norway
Sample_Type_SD	clinical material	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_003057395.1	SAMN08450112	Enterobacter cloacae complex sp.	Isolation Source	clinical material	Homo sapiens	Homo sapiens		infectious disease	diseased			clinical material	clinical sample	clinical/host-associated material		clinical material	clinical/host-associated material				clinical/host-associated material		2016	Czech Republic
Isolation_Source_SD_Broad	animal tissue/site	sample_material	Sample_Type_SD	Broad source category mixes non-source semantic classes; document or migrate.	GCA_003062205.1	SAMN08363457	Candidatus Sedimenticola endophacoides	Host	Phacoides pectinatus	Phacoides pectinatus	Phacoides pectinatus						gill sample from 3 different clams	gill	animal tissue/site	metagenomic assembly								2017	United States
Isolation_Source_SD_Broad	animal tissue/site	sample_material	Sample_Type_SD	Broad source category mixes non-source semantic classes; document or migrate.	GCA_003062215.1	SAMN08363456	Candidatus Sedimenticola endophacoides	Host	Phacoides pectinatus	Phacoides pectinatus	Phacoides pectinatus						gill sample from 2 different clams	gill	animal tissue/site	metagenomic assembly								2017	United States
Isolation_Source_SD_Broad	animal tissue/site	sample_material	Sample_Type_SD	Broad source category mixes non-source semantic classes; document or migrate.	GCA_003062345.1	SAMN08363458	Candidatus Sedimenticola endophacoides	Host	Phacoides pectinatus	Phacoides pectinatus	Phacoides pectinatus						gill sample from 2 different clams	gill	animal tissue/site	metagenomic assembly								2014	United States
Sample_Type_SD	food/animal-production swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_003063105.1	SAMN08644576	Klebsiella pneumoniae	Host	absent	absent							truck swab	food/animal-production swab	food		food/animal-production swab	food						2014	Germany
Sample_Type_SD	food/animal-production swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_003063145.1	SAMN08644578	Klebsiella pneumoniae	Host	absent	absent							hatchery swab	food/animal-production swab	food		food/animal-production swab	food						2014	Germany
Sample_Type_SD	food/animal-production swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_003063185.1	SAMN08644577	Klebsiella pneumoniae	Host	absent	absent							truck swab	food/animal-production swab	food		food/animal-production swab	food						2014	Germany
Isolation_Source_SD_Broad	swab	collection_device	Sample_Collection_Device_SD	Broad source category mixes non-source semantic classes; document or migrate.	GCA_003181595.1	SAMN07326160	Clostridium perfringens	Host	Gallus gallus	Gallus gallus	Gallus gallus		healthy/no disease reported	healthy			healthy chicken	cloacal swab	swab	whole organism								2014	Australia
Isolation_Source_SD_Broad	swab	collection_device	Sample_Collection_Device_SD	Broad source category mixes non-source semantic classes; document or migrate.	GCA_003181625.1	SAMN07326156	Clostridium perfringens	Host	Gallus gallus	Gallus gallus	Gallus gallus		healthy/no disease reported	healthy			healthy chicken	cloacal swab	swab	whole organism								2008	Australia
Isolation_Source_SD_Broad	swab	collection_device	Sample_Collection_Device_SD	Broad source category mixes non-source semantic classes; document or migrate.	GCA_003181895.1	SAMN07326161	Clostridium perfringens	Host	Gallus gallus	Gallus gallus	Gallus gallus		healthy/no disease reported	healthy			healthy chicken	cloacal swab	swab	whole organism								2005	Belgium
Sample_Type_SD	oropharyngeal/throat swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_003194045.1	SAMN09269643	Corynebacterium diphtheriae	Host	Homo sapiens	Homo sapiens	Homo sapiens		diphtheria	diseased			Pharyngeal swab	clinical/host-associated material	clinical/host-associated material		oropharyngeal/throat swab	swab	nasopharynx/oropharynx					2011	Australia
Host_Health_State_SD	colonized	colonization_status	Host_Colonization_Status_SD	Colonization/carrier status should move to Host_Colonization_Status_SD.	GCA_003202285.1	SAMN05284053	Prauserella muralis	Isolation Source	mold-colonized wall of an indoor environment	absent				colonized			mold-colonized wall of an indoor environment	environmental material	environmental material	pure culture	culture	culture		wastewater	water			2009	Germany
Isolation_Source_SD	purulent material	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_003261075.1	SAMN09434609	Escherichia coli	Isolation Source	purulent material	canine	Canis lupus familiaris						purulent material	purulent material										2017	Brazil
Isolation_Source_SD	sputum	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_003268455.1	SAMN04599302	Burkholderia pseudomallei	Host	Homo sapiens	Homo sapiens	Homo sapiens		melioidosis	patient			patient CF7 cystic fibrosis lung	sputum	clinical/host-associated material									2007	Australia
Isolation_Source_SD	sputum	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_003268465.1	SAMN04599301	Burkholderia pseudomallei	Host	Homo sapiens	Homo sapiens	Homo sapiens		melioidosis	patient			patient CF1 cystic fibrosis lung	sputum	clinical/host-associated material									1999	New Zealand
Isolation_Source_SD	Nasobronchial lavage	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_003345925.1	SAMN09708293	Acinetobacter baumannii	Isolation Source	Nasobronchial lavage	Homo sapiens	Homo sapiens						Nasobronchial lavage	Nasobronchial lavage										2015	Pakistan
Isolation_Source_SD	Nasobronchial lavage	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_003346005.1	SAMN09708309	Acinetobacter baumannii	Isolation Source	Nasobronchial lavage	Homo sapiens	Homo sapiens						Nasobronchial lavage	Nasobronchial lavage										2015	Pakistan
Sample_Type_SD	hospital wastewater	environment_medium	Environment_Medium_SD	Environmental terms should not be physical sample type values.	GCA_003441515.1	SAMN09859345	Pseudomonas aeruginosa	Isolation Source	hospital wastewaters	absent							hospital wastewaters	healthcare-associated environment	healthcare-associated environment		hospital wastewater	wastewater/sewage		hospital wastewater	wastewater/sewage	healthcare-associated environment	healthcare facility	2014	Singapore
Sample_Type_SD	hospital wastewater	environment_medium	Environment_Medium_SD	Environmental terms should not be physical sample type values.	GCA_003441535.1	SAMN09859346	Pseudomonas aeruginosa	Isolation Source	hospital wastewaters	absent							hospital wastewaters	healthcare-associated environment	healthcare-associated environment		hospital wastewater	wastewater/sewage		hospital wastewater	wastewater/sewage	healthcare-associated environment	healthcare facility	2014	Singapore
Sample_Type_SD	hospital wastewater	environment_medium	Environment_Medium_SD	Environmental terms should not be physical sample type values.	GCA_003441555.1	SAMN09859344	Pseudomonas aeruginosa	Isolation Source	hospital wastewaters	absent							hospital wastewaters	healthcare-associated environment	healthcare-associated environment		hospital wastewater	wastewater/sewage		hospital wastewater	wastewater/sewage	healthcare-associated environment	healthcare facility	2014	Singapore
Sample_Type_SD	internal-site swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_003571065.1	SAMN09710958	Klebsiella pneumoniae	Host	Phocarctos hookeri	Phocarctos hookeri	Phocarctos hookeri						Joint swab	clinical/host-associated material	clinical/host-associated material		internal-site swab	swab						2013	New Zealand
Sample_Type_SD	internal-site swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_003571075.1	SAMN09710957	Klebsiella pneumoniae	Host	Phocarctos hookeri	Phocarctos hookeri	Phocarctos hookeri						Atlanto-occipital joint swab	clinical/host-associated material	clinical/host-associated material		internal-site swab	swab						2012	New Zealand
Isolation_Source_SD	purulent material	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_003585325.1	SAMN07201002	Staphylococcus delphini	Isolation Source	purulent material	dolphin	Delphinidae						purulent material	purulent material										1988	Italy
Sample_Type_SD	wound/skin/pus swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_003586225.1	SAMN07711216	Cutibacterium acnes	Host	Homo sapiens	Homo sapiens	Homo sapiens						Wound left skin swab	clinical/host-associated material	clinical/host-associated material	Wound No. 1 LT SKIN SWAB	wound/skin/pus swab	clinical/host-associated material	wound					absent	United States
Sample_Type_SD	ready-to-eat product	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_003592945.1	SAMN09407289	Listeria monocytogenes	Host	absent	absent							RTE Product	food/food product	food		ready-to-eat product	food						2018	United States
Sample_Type_SD	ready-to-eat product	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_003593165.1	SAMN09407288	Listeria monocytogenes	Host	absent	absent							RTE Product	food/food product	food		ready-to-eat product	food						2018	United States
Sample_Type_SD	ready-to-eat product	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_003593765.1	SAMN09435683	Listeria monocytogenes	Host	absent	absent							RTE Product	food/food product	food		ready-to-eat product	food						2018	United States
Sample_Type_SD	avocado	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_003593985.1	SAMN02921864	Listeria monocytogenes	Isolation Source	avocado pulp	absent							avocado pulp	clinical/host-associated material	clinical/host-associated material		avocado	food/produce						2006	United States
Sample_Type_SD	clinical material	source_context	Isolation_Source_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_003605215.1	SAMN09935546	Staphylococcus aureus	Isolation Source	clinical material	Homo sapiens	Homo sapiens						clinical material	clinical sample	clinical/host-associated material		clinical material	clinical/host-associated material				clinical/host-associated material		2013	Greece
Sample_Type_SD	avocado	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_003609175.1	SAMN02850633	Listeria monocytogenes	Isolation Source	fresh hass avocado	absent	Viridiplantae						fresh hass avocado	clinical/host-associated material	clinical/host-associated material		avocado	food/produce						2014	United States
Host_Health_State_SD	exacerbation	disease_stage	Host_Disease_Stage_SD	Disease stage should move to Host_Disease_Stage_SD.	GCA_003625535.1	SAMN09947558	Moraxella catarrhalis	Host Health State	Exacerbation	Homo sapiens	Homo sapiens			exacerbation			sputum	clinical/host-associated material	clinical/host-associated material		sputum	clinical/host-associated material						2014	United Kingdom
Host_Health_State_SD	exacerbation	disease_stage	Host_Disease_Stage_SD	Disease stage should move to Host_Disease_Stage_SD.	GCA_003625545.1	SAMN09947555	Moraxella catarrhalis	Host Health State	Exacerbation	Homo sapiens	Homo sapiens			exacerbation			sputum	clinical/host-associated material	clinical/host-associated material		sputum	clinical/host-associated material						2013	United Kingdom
Host_Health_State_SD	exacerbation	disease_stage	Host_Disease_Stage_SD	Disease stage should move to Host_Disease_Stage_SD.	GCA_003625555.1	SAMN09947556	Moraxella catarrhalis	Host Health State	Exacerbation	Homo sapiens	Homo sapiens			exacerbation			sputum	clinical/host-associated material	clinical/host-associated material		sputum	clinical/host-associated material						2012	United Kingdom
Sample_Type_SD	catfish product	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_003750105.1	SAMN10346525	Salmonella enterica subsp. enterica serovar Anatum	Host	absent	absent							"""Product-Raw-Intact-Siluriformes\, Ictaluridae (Catfish)"""	clinical/host-associated material	clinical/host-associated material		catfish product	aquatic food product						2018	United States
Sample_Type_SD	estuary	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_003798505.1	SAMN08204774	Vibrio parahaemolyticus	Isolation Source	Estuary	absent							Estuary	environmental material	environmental material		estuary	water				estuarine environment	estuary	2013	United States
Sample_Type_SD	respiratory swab	collection_device	Sample_Collection_Device_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_003835695.1	SAMN07424142	Pseudomonas aeruginosa	Host	Homo sapiens	Homo sapiens	Homo sapiens		cystic fibrosis	patient			child cystic fibrosis patient, cough swab				respiratory swab	swab						2013	United Kingdom
Sample_Type_SD	papaya	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_003870155.2	SAMN02847781	Salmonella enterica	Isolation Source	fresh papaya	absent							fresh papaya	plant/produce food product	food		papaya	food/produce						2014	United States
Sample_Type_SD	papaya	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_003876455.1	SAMN07519481	Salmonella enterica subsp. enterica	Isolation Source	fresh papaya	absent							fresh papaya	plant/produce food product	food		papaya	food/produce						2017	United States
Sample_Type_SD	kratom	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_003876675.1	SAMN08737147	Salmonella enterica	Isolation Source	kratom	absent							kratom	clinical/host-associated material	clinical/host-associated material		kratom	plant-associated material						2018	United States
Sample_Type_SD	cantaloupe	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_003877655.1	SAMN02844371	Salmonella enterica subsp. enterica serovar Kentucky	Isolation Source	whole fresh cantaloupe	absent							whole fresh cantaloupe	plant/produce food product	food		cantaloupe	food/produce						2006	United States
Sample_Type_SD	kratom	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_003879955.1	SAMN09242541	Salmonella enterica	Isolation Source	kratom mitragyna speciosa	absent							kratom mitragyna speciosa	clinical/host-associated material	clinical/host-associated material		kratom	plant-associated material						2018	United States
Sample_Type_SD	kratom	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_003879995.1	SAMN09242534	Salmonella enterica	Isolation Source	kratom mitragyna speciosa	absent							kratom mitragyna speciosa	clinical/host-associated material	clinical/host-associated material		kratom	plant-associated material						2018	United States
Isolation_Source_SD	Broncholaveolar lavage	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_003951185.1	SAMN10405415	Klebsiella aerogenes	Isolation Source	Broncholaveolar lavage	Homo sapiens	Homo sapiens						Broncholaveolar lavage	Broncholaveolar lavage										2016	United States
Sample_Type_SD	cilantro	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_004186335.1	SAMN01902385	Salmonella enterica subsp. enterica serovar Norwich	Isolation Source	fresh cilantro	absent							fresh cilantro	clinical/host-associated material	clinical/host-associated material		cilantro	food/produce						2011	United States
Isolation_Source_SD	ceca contents	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_004195085.1	SAMN10530972	Campylobacter jejuni	Isolation Source	ceca contents	chicken	Gallus gallus						ceca contents	ceca contents										2002	United States
Isolation_Source_SD	ceca contents	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_004195125.1	SAMN10530973	Campylobacter jejuni	Isolation Source	ceca contents	chicken	Gallus gallus						ceca contents	ceca contents										2002	United States
Isolation_Source_SD	ceca contents	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_004195185.1	SAMN10530970	Campylobacter jejuni	Isolation Source	ceca contents	chicken	Gallus gallus						ceca contents	ceca contents										2002	United States
Sample_Type_SD	cantaloupe	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_004215415.1	SAMN02845666	Salmonella enterica subsp. enterica serovar Heidelberg	Isolation Source	fresh cantaloupe	absent							fresh cantaloupe	plant/produce food product	food		cantaloupe	food/produce						2005	United States
Isolation_Source_SD	caeca content	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_004218565.1	SAMN09907453	Salmonella enterica	Isolation Source	caeca content	Gallus gallus domesticus	Gallus gallus						caeca content	caeca content										2015	Ecuador
Isolation_Source_SD	Nasobronchial lavage	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_004357105.1	SAMN09708303	Acinetobacter baumannii	Isolation Source	Nasobronchial lavage	Homo sapiens	Homo sapiens						Nasobronchial lavage	Nasobronchial lavage										2015	Pakistan
Sample_Type_SD	cantaloupe	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_004407055.1	SAMN02999665	Listeria monocytogenes	Isolation Source	whole cantaloupe	absent							whole cantaloupe	plant/produce food product	food		cantaloupe	food/produce						2014	United States
Sample_Type_SD	food-contact surface	study_group	Host_Study_Group_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_004444565.1	SAMN03218396	Listeria monocytogenes	Host	absent	absent							food contact surface				food-contact surface	food/processing environment				food-associated environment	food-contact surface	2014	United States
Sample_Type_SD	food-contact surface	study_group	Host_Study_Group_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_004444685.1	SAMN03218394	Listeria monocytogenes	Host	absent	absent							food contact surface				food-contact surface	food/processing environment				food-associated environment	food-contact surface	2014	United States
Sample_Type_SD	prawn product	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_004445165.1	SAMN03203181	Listeria monocytogenes	Host	absent	absent							individually quick frozen prawn	clinical/host-associated material	clinical/host-associated material		prawn product	aquatic food product						2014	United States
Sample_Type_SD	food-contact surface	study_group	Host_Study_Group_SD	Sample_Type fields should contain physical specimen/material values only.	GCA_004445225.1	SAMN03218393	Listeria monocytogenes	Host	absent	absent							food contact surface				food-contact surface	food/processing environment				food-associated environment	food-contact surface	2014	United States
Sample_Type_SD	cilantro	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_004506205.1	SAMN02569969	Listeria monocytogenes	Isolation Source	cilantro lose	absent							cilantro lose	clinical/host-associated material	clinical/host-associated material		cilantro	food/produce						2013	United States
Sample_Type_SD	cilantro	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_004507485.1	SAMN02569968	Listeria monocytogenes	Isolation Source	cilantro lose	absent							cilantro lose	clinical/host-associated material	clinical/host-associated material		cilantro	food/produce						2013	United States
Isolation_Source_SD	abomasum content	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_004546685.1	SAMN11102894	Listeria monocytogenes	Isolation Source	abomasum content	Capra aegagrus hircus	Capra hircus						abomasum content	abomasum content										2016	United States
Isolation_Source_SD	abomasum content	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_004547465.1	SAMN11102912	Listeria monocytogenes	Isolation Source	abomasum content	Capra aegagrus hircus	Capra hircus						abomasum content	abomasum content										2019	United States
Isolation_Source_SD	abomasum content	sample_material	Sample_Type_SD	Physical specimen/material values should not be represented as strict source context.	GCA_004548725.1	SAMN11102870	Listeria monocytogenes	Isolation Source	abomasum content	Capra aegagrus hircus	Capra hircus						abomasum content	abomasum content										2019	United States
Host_Health_State_SD	colonized	colonization_status	Host_Colonization_Status_SD	Colonization/carrier status should move to Host_Colonization_Status_SD.	GCA_004804375.1	SAMN11349924	Enterobacter bugandensis	Host Disease	colonized	Homo sapiens	Homo sapiens			colonized			throat swab	clinical/host-associated material	clinical/host-associated material		nasopharynx/oropharynx	upper respiratory tract	nasopharynx/oropharynx					2019	Germany
Sample_Type_SD	catfish product	unresolved	admin_review	Sample_Type fields should contain physical specimen/material values only.	GCA_005415835.1	SAMN10142515	Salmonella enterica subsp. enterica serovar Hartford	Host	absent	absent							"""Product-Raw-Intact-Siluriformes\, Ictaluridae (Catfish)"""	clinical/host-associated material	clinical/host-associated material		catfish product	aquatic food product						2018	United States
