assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	detail	Host_SD	Host_TaxID	Host_Context_SD	Host_Health_State_SD	Host_Disease_SD	Isolation_Site_SD	Isolation_Source_SD	Sample_Type_SD
GCA_051132145.1	SAMN18220741	Pseudomonas sp. D4-18	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Bassia eriophora	267525				plant-associated material	plant-associated material	
GCA_018587885.1	SAMN19026553	Pseudomonas sp. VS40	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Hedera helix	4052				plant-associated material	plant-associated material	
GCA_047987765.1	SAMN45227735	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_047988625.1	SAMN45227710	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_011801265.1	SAMN13899374	Clavibacter capsici	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Capsicum	4071				plant-associated material	plant-associated material	cell culture
GCA_022602175.1	SAMN26199812	Rosenbergiella nectarea subsp. apis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Epipactis palustris	210730				plant-associated material	plant-associated material	
GCA_947085275.1	SAMEA111451347	uncultured delta proteobacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_947085045.1	SAMEA111451369	uncultured Microbacteriaceae bacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_947085805.1	SAMEA111451386	uncultured Parcubacteria group bacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_947085705.1	SAMEA111451290	uncultured Omnitrophica bacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_054952925.1	SAMN54941967	Serratia marcescens	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Cynodon dactylon	28909				plant-associated material	plant-associated material	
GCA_022530985.1	SAMN25989752	Citrobacter freundii	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_029948125.1	SAMN34245134	Catellatospora sp. KI3	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Pistia stratiotes	4477				plant-associated material		
GCA_002565245.1	SAMN07598547	Bacillus cereus	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	cell culture
GCA_002577325.1	SAMN07597945	Bacillus thuringiensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	cell culture
GCA_024752355.1	SAMN30276558	Ancylobacter mangrovi	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_028847345.1	SAMEA4697955	Yersinia enterocolitica	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_006541075.1	SAMN12082467	Enterococcus faecalis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	beef
GCA_056530295.1	SAMN27610232	Bacillus sp. PK6-16	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Tetraena simplex	2499693				plant-associated material	plant-associated material	
GCA_056529615.1	SAMN27610198	Staphylococcus sp. Z5-21	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Filago	261771				plant-associated material	plant-associated material	
GCA_047979565.1	SAMN45227903	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_047983135.1	SAMN45227889	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_047985825.1	SAMN45227805	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_047987205.1	SAMN45227752	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_003100575.1	SAMN03761948	Sinorhizobium fredii CCBAU 45436	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Glycine max	3847				plant-associated material	plant-associated material	cell culture
GCA_003121735.1	SAMN08979056	Pectobacterium polaris	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Solanum tuberosum	4113				plant-associated material	plant-associated material	tissue
GCA_052071355.1	SAMN50549433	Proteus mirabilis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	environmental material	environmental sample
GCA_021893055.1	SAMN14372637	Lactiplantibacillus plantarum	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_008629685.1	SAMN12687949	Adhaeribacter rhizoryzae	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_021365465.1	SAMN24011481	Erwinia tracheiphila	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Cucurbita moschata	3662				plant-associated material	plant-associated material	cell culture
GCA_025653365.1	SAMN25232836	Shewanella sp. SW32	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_002775955.1	SAMN07420955	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false							plant-associated material	plant-associated material	meat product
GCA_022517465.1	SAMN25989832	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022518625.1	SAMN25990043	Klebsiella ornithinolytica	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022518705.1	SAMN25989938	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022519485.1	SAMN25989685	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022519655.1	SAMN25989949	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022519905.1	SAMN25988852	Escherichia coli	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022521245.1	SAMN25989819	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022523805.1	SAMN25989279	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_002556405.1	SAMN07597258	Bacillus wiedmannii	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	cell culture
GCA_002569015.1	SAMN07598572	Priestia aryabhattai	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Triticum aestivum	4565				plant-associated material	plant-associated material	
GCA_003860685.1	SAMN10366525	Ralstonia solanacearum	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Musa	4640				plant-associated material	plant-associated material	
GCA_015017495.1	SAMN14091723	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Aves	8782				plant-associated material	plant-associated material	drain
GCA_015018455.1	SAMN14091696	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Aves	8782				plant-associated material	plant-associated material	drain
GCA_015018875.1	SAMN14091668	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Aves	8782				plant-associated material	plant-associated material	drain
GCA_018139485.1	SAMN18794748	Phycicoccus avicenniae	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_054161345.1	SAMN27610214	Erwinia sp. PK3-005	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Janochloa antidotale	3031383				plant-associated material	plant-associated material	
GCA_022527325.1	SAMN25988613	Citrobacter farmeri	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022534975.1	SAMN25989918	Citrobacter freundii	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_056499135.1	SAMN27610222	Pseudomonas sp. PK3-6	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Janochloa antidotale	3031383				plant-associated material	plant-associated material	
GCA_018383395.1	SAMN19068587	Pseudomonas syringae	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Medicago sativa	3879				plant-associated material	plant-associated material	
GCA_047978585.1	SAMN45227941	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_047986805.1	SAMN45227774	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_050627115.1	SAMN47300689	Pseudomonas gorinensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Pisum sativum	3888				plant-associated material	plant-associated material	
GCA_002150995.1	SAMN05439586	Clavibacter michiganensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Solanum lycopersicum	4081				plant-associated material	plant-associated material	
GCA_021026335.1	SAMN23417615	Rhizobium sp. C1	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_040980915.1	SAMN37240226	Kocuria sp. CPCC 205233	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_947085525.1	SAMEA111451330	uncultured Candidatus Saccharibacteria bacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_002558645.1	SAMN07597297	Bacillus cereus	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		oats	4498				plant-associated material	plant-associated material	
GCA_002574435.1	SAMN07598137	Bacillus thuringiensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	cell culture
GCA_017353515.1	SAMN18147338	Jiella sonneratiae	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_025653775.1	SAMN25232824	Shewanella sp. SM72	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_947085125.1	SAMEA111451293	uncultured Nitrospirota bacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_947084805.1	SAMEA111451318	uncultured beta proteobacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_046549315.1	SAMN16788668	Streptomyces sp. 058-1L	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_002589455.1	SAMN07597783	Bacillus wiedmannii	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	cell culture
GCA_002577195.1	SAMN07597951	Bacillus sp. AFS041924	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	cell culture
GCA_002583915.1	SAMN07597882	Bacillus wiedmannii	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Solanum lycopersicum	4081				plant-associated material	plant-associated material	
GCA_017968985.1	SAMN12730707	Streptomyces scabiei	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Solanum tuberosum	4113				plant-associated material	plant-associated material	
GCA_015022195.1	SAMN14091724	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Aves	8782				plant-associated material	plant-associated material	drain
GCA_001634385.1	SAMN03782040	Rathayibacter tanaceti	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Tanacetum vulgare	128002				plant-associated material	plant-associated material	
GCA_000725365.1	SAMN02864241	Terribacillus saccharophilus	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Cryptomeria japonica var. sinensis	99810				plant-associated material	plant-associated material	
GCA_002571685.1	SAMN07598277	Bacillus wiedmannii	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	cell culture
GCA_964480055.1	SAMEA117375477	uncultured Cellvibrionaceae bacterium	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material		
GCA_056738965.1	SAMN27610226	Bacillus sp. PK5-025	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Tribulus terrestris	210369				plant-associated material	plant-associated material	
GCA_002553255.1	SAMN07598623	Bacillus cereus	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	cell culture
GCA_001043695.1	SAMN03392531	Bacillus safensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_002012345.1	SAMN06289803	blood disease bacterium A2-HR MARDI	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Musa	4640		diseased		plant-associated material	clinical/host-associated material	microbial isolate
GCA_053901235.1	SAMN53526167	Xylella fastidiosa subsp. multiplex	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Prunus sp.	2942660				plant-associated material	plant-associated material	cell culture
GCA_018951815.1	SAMN13738871	Clostridioides difficile	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_021498245.1	SAMN12405232	Serratia rubidaea	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Hyacinthus	82024				plant-associated material	clinical/host-associated material	leaves
GCA_022517425.1	SAMN25988941	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022530185.1	SAMN25988411	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022519705.1	SAMN25989884	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022521225.1	SAMN25989138	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022522925.1	SAMN25989840	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022523365.1	SAMN25989297	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022531505.1	SAMN25989339	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022534615.1	SAMN25989599	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022535035.1	SAMN25988414	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_053834345.1	SAMEA120398570	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	drain
GCA_055179755.1	SAMN55012043	Staphylococcus sp. TCBT05	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_002555805.1	SAMN07597332	Bacillus toyonensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_015018215.1	SAMN14091597	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Aves	8782				plant-associated material	plant-associated material	drain
GCA_015021295.1	SAMN14091599	Listeria monocytogenes	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Aves	8782				plant-associated material	plant-associated material	drain
GCA_026420865.1	SAMN31422749	Novosphingobium clariflavum	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false							plant-associated material	clinical/host-associated material	sponge
GCA_054161465.1	SAMN27610237	Bacillus sp. R1-10	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Plantago cylindrica	1928669				plant-associated material	plant-associated material	
GCA_016765615.1	SAMN17370666	Clostridium paridis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Paris polyphylla var. yunnanensis	221260				plant-associated material	plant-associated material	cell culture
GCA_025654465.1	SAMN25232809	Shewanella sp. SM101	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_051039295.1	SAMN37308763	Clavibacter michiganensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Solanum lycopersicum	4081				plant-associated material	plant-associated material	cell culture
GCA_047978665.1	SAMN45227938	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_047983945.1	SAMN45227870	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_047986905.1	SAMN45227767	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_047988205.1	SAMN45227726	Pseudomonas aeruginosa	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			clinical/host-associated material	sink
GCA_039555255.1	SAMN37852903	Xanthomonas oryzae pv. oryzae	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_001456315.1	SAMN03173341	Xylella fastidiosa	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Hibiscus	47605				plant-associated material	plant-associated material	
GCA_022529845.1	SAMN25988820	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022518505.1	SAMN25989147	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_022523405.1	SAMN25990020	Klebsiella pneumoniae	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=false					patient			healthcare-associated environment	hospital wastewater
GCA_002561825.1	SAMN07597478	Bacillus thuringiensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	cell culture
GCA_002553345.1	SAMN07598599	Bacillus cereus	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		oats	4498				plant-associated material	plant-associated material	
GCA_002567495.1	SAMN07598336	Bacillus cereus	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	cell culture
GCA_013284745.1	SAMN15009802	Bacillus velezensis	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Solanum lycopersicum	4081				plant-associated material	plant-associated material	
GCA_013359535.1	SAMN15102643	Ralstonia solanacearum	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Pelargonium	4030		diseased		plant-associated material	plant-associated material	microbial isolate
GCA_009674885.1	SAMN13230585	Paracoccus sp. S-4012	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_018950755.1	SAMN13738870	Clostridioides difficile	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Viridiplantae	33090				plant-associated material	plant-associated material	
GCA_029524255.1	SAMN32950828	Pectobacterium brasiliense	PH2A-SITE-PLANT-SAMPLE-MATERIAL	Sample_Material_SD	plant material	plant_material_evidence	plant_material_evidence=false		Solanum tuberosum	4113				plant-associated material	plant-associated material	
