normalized_lookup	raw_value	source_column	target_field	standardized_value	broad_value	review_status	confidence	batch_id	issue_type	severity	recommended_action
placental villi	placental villi		Isolation_Site_SD	placenta		approved	high	preexisting	none	pass	none
cluster root	Cluster Root		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
nasal associated lymphoid tissue nalt	Nasal-associated lymphoid tissue (NALT)		Isolation_Site_SD	nasal site	clinical/host-associated material	approved	high	preexisting	none	pass	none
embryonic kidney	embryonic kidney		Isolation_Site_SD	kidney		approved	high	preexisting	none	pass	none
dorsal root ganglion	Dorsal root ganglion		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
midbrain	Midbrain		Isolation_Site_SD	brain		approved	high	preexisting	none	pass	none
blood lymphoblastoid	blood lymphoblastoid		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
pool of 12 root samples	pool of 12 root samples		Isolation_Site_SD	plant root/rhizosphere		approved	high	preexisting	none	pass	none
brain limbic system	Brain (limbic system)		Isolation_Site_SD	brain		approved	high	preexisting	none	pass	none
human embryonic kidney	human embryonic kidney		Isolation_Site_SD	kidney		approved	high	preexisting	none	pass	none
hot spring aquatic	Hot spring; Aquatic		Environment_Medium_SD	hot spring water	environmental material	approved	high	preexisting	none	pass	none
fresh water aquatic	Fresh water; Aquatic		Environment_Medium_SD	freshwater	environmental material	approved	high	preexisting	none	pass	none
host human	Host; Human		Environment_Broad_Scale_SD	host-associated environment		approved	high	preexisting	none	pass	none
aquatic marine	Aquatic; Marine		Environment_Broad_Scale_SD	marine environment		approved	high	preexisting	none	pass	none
aquatic fresh water	Aquatic; Fresh water		Environment_Medium_SD	freshwater	environmental material	approved	high	preexisting	none	pass	none
host bird	Host; Bird		Environment_Broad_Scale_SD	host-associated environment		approved	high	preexisting	none	pass	none
sea water aquatic marine	Sea water; Aquatic; Marine		Environment_Medium_SD	seawater	environmental material	approved	high	preexisting	none	pass	none
plant root root nodule soil host	Plant root; Root nodule; Soil; Host		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
marine aquatic	Marine; Aquatic		Environment_Broad_Scale_SD	marine environment		approved	high	preexisting	none	pass	none
host insect	Host; Insect		Environment_Broad_Scale_SD	host-associated environment		approved	high	preexisting	none	pass	none
sediment marine	Sediment; Marine		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
wastewater aquatic	Wastewater; Aquatic		Environment_Medium_SD	wastewater	environmental material	approved	high	preexisting	none	pass	none
fresh water marine sediment	Fresh water; Marine; Sediment		Environment_Medium_SD	marine sediment	environmental material	approved	high	preexisting	none	pass	none
animal intestinal microflora fresh water mud sea water soil	Animal intestinal microflora, Fresh water, Mud, Sea water, Soil		Environment_Medium_SD	seawater	environmental material	approved	high	preexisting	none	pass	none
feces host gastrointestinal tract	Feces; Host; Gastrointestinal tract		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
meat food product	Meat food product		Isolation_Source_SD	meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
host plant symbiont soil	Host, Plant symbiont, Soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
plant root	plant root		Environment_Broad_Scale_SD	plant-associated environment		approved	high	preexisting	none	pass	none
sea water marine aquatic	Sea water; Marine; Aquatic		Environment_Medium_SD	seawater	environmental material	approved	high	preexisting	none	pass	none
soil host	Soil; Host		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
soil wetland	Soil; Wetland		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
host feces gastrointestinal tract	Host; Feces; Gastrointestinal tract		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
marine sea water aquatic	Marine; Sea water; Aquatic		Environment_Medium_SD	seawater	environmental material	approved	high	preexisting	none	pass	none
host endosumbiont	host endosumbiont		Environment_Broad_Scale_SD	host-associated environment		approved	high	preexisting	none	pass	none
sediment aquatic marine	Sediment; Aquatic; Marine		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
aquatic sea water marine	Aquatic; Sea water; Marine		Environment_Medium_SD	seawater	environmental material	approved	high	preexisting	none	pass	none
coastal ocean	Coastal ocean		Environment_Broad_Scale_SD	marine environment		approved	high	preexisting	none	pass	none
fresh water sediment	Fresh water, Sediment		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
food fermented	food (fermented)		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
deep sea hydrothermal vent marine	Deep sea, Hydrothermal vent, Marine		Environment_Broad_Scale_SD	marine environment		approved	high	preexisting	none	pass	none
plant root host root nodule soil	Plant root; Host; Root nodule; Soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
creosote contaminated soil soil	Creosote-contaminated soil, Soil		Environment_Medium_SD	soil	environmental material	approved	high	preexisting	none	pass	none
aquatic sediment marine	Aquatic; Sediment; Marine		Environment_Medium_SD	sediment	environmental material	approved	high	preexisting	none	pass	none
host oral microflora	Host; Oral microflora		Environment_Broad_Scale_SD	host-associated environment		approved	high	preexisting	none	pass	none
food fermentation	food fermentation		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
cattle farm	Cattle farm		Environment_Local_Scale_SD	farm		approved	high	preexisting	none	pass	none
salt lake	salt lake		Environment_Local_Scale_SD	lake		approved	high	preexisting	none	pass	none
laboratory isolate	Laboratory isolate		Environment_Local_Scale_SD	laboratory		approved	high	preexisting	none	pass	none
marine sediment envo 00002113	marine sediment (ENVO:00002113)		Environment_Medium_SD	marine sediment	environmental material	approved	high	preexisting	none	pass	none
land animals meat pork	land animals:meat:pork		Isolation_Source_SD	pork/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
land animals dairy solid semisolid dairy products	Land Animals:Dairy:Solid/semisolid dairy products		Isolation_Source_SD	dairy food	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
land animals meat and poultry pork raw pork	Land animals:Meat and poultry:Pork:raw pork		Isolation_Source_SD	pork/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
solid semi solid dairy product	Solid/semi-solid dairy product		Isolation_Source_SD	dairy food	environmental material	approved	high	preexisting	none	pass	none
land animals dairy solid	Land Animals:Dairy:Solid		Isolation_Source_SD	dairy food	environmental material	approved	high	preexisting	none	pass	none
level 1 land animal level 2 dairy level 3 solid level 5 unpasteurizer	Level 1: Land Animal - Level 2: Dairy -Level 3: Solid -Level 5: Unpasteurizer		Isolation_Source_SD	dairy food	environmental material	approved	high	preexisting	none	pass	none
land animals dairy fluid milk	Land Animals:Dairy:Fluid Milk		Isolation_Source_SD	milk	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
pasteurized fluid dairy products	pasteurized fluid dairy products		Isolation_Source_SD	dairy food	environmental material	approved	high	preexisting	none	pass	none
dairy other animal	dairy| other animal		Isolation_Source_SD	dairy food	environmental material	approved	high	preexisting	none	pass	none
non food	Non-food		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
environmental factory production facility dairy	environmental-factory/production facility| dairy		Isolation_Source_SD	dairy food	environmental material	approved	high	preexisting	none	pass	none
level 1 land animal level 2 dairy level 3 fluid milk level 5 unpasteurizer	Level 1: Land Animal - Level 2: Dairy -Level 3: Fluid Milk -Level 5: Unpasteurizer		Isolation_Source_SD	milk	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
vegetable row crops leafy	vegetable row crops (leafy)		Isolation_Source_SD	plant/produce food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
land animals meat poultry meat beef ready to eat fermented	Land animals:meat-poultry:meat:beef:ready-to-eat:fermented		Isolation_Source_SD	poultry meat/product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
multi ingedient dairy	multi-ingedient| dairy		Isolation_Source_SD	dairy food	environmental material	approved	high	preexisting	none	pass	none
environmental swab specimen obi 0002613	environmental swab specimen:OBI:0002613		Sample_Type_SD	environmental swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
land animals dairy solid semi solid dairy products cheese	Land animals:Dairy:Solid/semi solid dairy products:Cheese		Isolation_Source_SD	dairy food	environmental material	approved	high	preexisting	none	pass	none
veterinary clinical research fish	veterinary clinical/research| fish		Isolation_Source_SD	seafood/aquatic food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
plants produce vegetables herbs dried herbs	Plants:Produce:Vegetables:Herbs:Dried Herbs		Isolation_Source_SD	plant/produce food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
fish other animal	fish, other animal		Isolation_Source_SD	seafood/aquatic food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
small fruit	small fruit		Isolation_Source_SD	plant/produce food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
land animals dairy soli semi solid dairy products unpasteurized	Land animals:dairy:soli/semi-solid dairy products:unpasteurized		Isolation_Source_SD	dairy food	environmental material	approved	high	preexisting	none	pass	none
level 1 plants level 2 produce level 3 vegetables level 4 seeded vegetables level 5 fresh	Level 1: Plants - Level 2: Produce -Level 3: Vegetables -Level 4: Seeded Vegetables -Level 5: Fresh		Isolation_Source_SD	plant/produce food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
animals dairy unpasteurized fluid milk	Animals:Dairy:Unpasteurized Fluid Milk		Isolation_Source_SD	milk	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
processed food	processed food		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
cervix	cervix		Isolation_Site_SD	cervix		approved	high	preexisting	none	pass	none
chicken young chicken carcass rinse post chill	chicken - young chicken carcass rinse (post-chill)		Isolation_Source_SD	poultry meat/product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
chicken young chicken carcass rinse pre evisceration	chicken - young chicken carcass rinse (pre-evisceration)		Isolation_Source_SD	poultry meat/product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
perirectal swab	Perirectal swab		Sample_Type_SD	rectal/perianal swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
animal cattle beef cow	animal-cattle-beef cow		Isolation_Source_SD	beef/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
animal cattle beef cow cecal	Animal-Cattle-Beef Cow (cecal)		Isolation_Source_SD	beef/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
fresh water stream	fresh water stream		Environment_Medium_SD	freshwater	environmental material	approved	high	preexisting	none	pass	none
blood from patients of rural regional hospital	blood from patients of rural regional hospital		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
dam water	dam water		Environment_Medium_SD	environmental water	environmental material	approved	high	preexisting	none	pass	none
venous blood	Venous blood		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
pork chop	PORK CHOP		Isolation_Source_SD	pork/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
food source	food source		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
bacterial isolate from bulk tank milk sample	Bacterial Isolate from bulk tank milk sample		Isolation_Source_SD	milk	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
retail meat	retail meat		Isolation_Source_SD	meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
dairy cattle manure	dairy cattle manure		Environment_Medium_SD	manure		approved	high	preexisting	none	pass	none
urine from catheter	urine from catheter		Isolation_Site_SD	urine	clinical/host-associated material	approved	high	preexisting	none	pass	none
blood cultures	Blood cultures		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
rte product	RTE Product		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
pork cecal content	Pork (cecal content)		Isolation_Source_SD	pork/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
body swab	body swab		Sample_Type_SD	skin/body-surface swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
blood csf	blood/CSF		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
canal water	Canal water		Environment_Medium_SD	canal water	environmental material	approved	high	preexisting	none	pass	none
boneless beef	Boneless Beef		Isolation_Source_SD	beef/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
cattle faeces	Cattle faeces		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
bovine manure	Bovine manure		Environment_Medium_SD	manure		approved	high	preexisting	none	pass	none
pork from supermarket	Pork from supermarket		Isolation_Source_SD	pork/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
environmental food contact surface	Environmental: food-contact surface		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
feces bovine	feces bovine		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
wound skin swab	wound/skin swab		Sample_Type_SD	wound/skin/pus swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
papaya	papaya		Isolation_Source_SD	plant/produce food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
feces from patient with diarrhea	feces from patient with diarrhea		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
blood for culture	Blood for culture		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
swab rectum	Swab rectum		Sample_Type_SD	rectal/perianal swab	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
patient with urinary tract infection	patient with urinary tract infection		Isolation_Site_SD	urine	clinical/host-associated material	approved	high	preexisting	none	pass	none
cantaloupe	cantaloupe		Isolation_Source_SD	plant/produce food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
broiler feces	broiler, feces		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
ground pork	GROUND PORK		Isolation_Source_SD	pork/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
animal turkey turkey carcass sponge	Animal-Turkey-Turkey Carcass Sponge		Isolation_Source_SD	turkey meat/product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
brisket swab	Brisket Swab		Sample_Type_SD	food/animal-production swab	environmental/food-production sample	approved	high	preexisting	none	pass	none
dairy manure	dairy manure		Environment_Medium_SD	manure		approved	high	preexisting	none	pass	none
pork from wild market	Pork from wild market		Isolation_Source_SD	pork/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
cattle or beef	Cattle or beef		Isolation_Source_SD	beef/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
farm slurry meat	farm slurry/meat		Isolation_Source_SD	meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
stool nash fibrosis stage 2 mash1	stool; NASH/Fibrosis stage >=2; MASH1		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
bacterial isolate from aseptic quarter milk sample	Bacterial Isolate from aseptic quarter milk sample		Isolation_Source_SD	milk	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
drag swab	Drag Swab		Sample_Type_SD	environmental swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
stool clinical	Stool, Clinical		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
not blood	not_blood		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
feces elk	feces elk		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
fecal sample from stec infected patient	fecal sample from STEC-infected patient		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
csf blood	CSF & Blood		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
urine isolate	urine isolate		Isolation_Site_SD	urine	clinical/host-associated material	approved	high	preexisting	none	pass	none
marine shellfish	marine shellfish		Isolation_Source_SD	seafood/aquatic food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
patient sinus swab	Patient Sinus Swab		Sample_Type_SD	oral/oropharyngeal swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
human feces metagenome	human feces metagenome		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
almond kernel	Almond kernel		Isolation_Source_SD	plant/produce food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
pus wound swab	Pus/Wound swab		Sample_Type_SD	wound/skin/pus swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
cecal dairy cow	Cecal Dairy Cow		Isolation_Source_SD	dairy food	environmental material	approved	high	preexisting	none	pass	none
rectal swab culture	Rectal swab culture		Sample_Type_SD	rectal/perianal swab	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
rump swab	Rump Swab		Sample_Type_SD	rectal/cloacal/perianal swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
organic vegetable farm	Organic vegetable farm		Isolation_Source_SD	plant/produce food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
urine from indwelling catheter	urine from indwelling catheter		Isolation_Site_SD	urine	clinical/host-associated material	approved	high	preexisting	none	pass	none
cow nasal swab	cow, nasal swab		Sample_Type_SD	nasal swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
marine oyster	Marine Oyster		Isolation_Source_SD	seafood/aquatic food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
bos taurus calf fecal matter	Bos taurus calf fecal matter		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
sewage influent	Sewage influent		Environment_Medium_SD	sewage	environmental material	approved	high	preexisting	none	pass	none
faeces manure	Faeces/Manure		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
pig rectal swab	Pig rectal swab		Sample_Type_SD	rectal/perianal swab	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
nasal perirectal swab	nasal perirectal swab		Sample_Type_SD	nasal swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
intrauterine swab	intrauterine swab		Sample_Type_SD	urogenital swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
surface water isolate	Surface Water Isolate		Environment_Medium_SD	surface water	environmental material	approved	high	preexisting	none	pass	none
rectal faeces	rectal faeces		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
broiler chicken feces	broiler chicken feces		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
arterial blood	Arterial blood		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
nares axilla groin swab	nares/axilla/groin swab		Sample_Type_SD	nasal swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
raw ground beef	Raw ground beef		Isolation_Source_SD	beef/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
food animal	food animal		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
dairy barn	Dairy barn		Isolation_Source_SD	dairy food	environmental material	approved	high	preexisting	none	pass	none
hatchery swab	hatchery swab		Sample_Type_SD	food/animal-production swab	environmental/food-production sample	approved	high	preexisting	none	pass	none
raw shrimp	Raw shrimp		Isolation_Source_SD	seafood/aquatic food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
romaine lettuce	ROMAINE LETTUCE		Isolation_Source_SD	plant/produce food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
finished pet food	finished pet food		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
chicken drag swab	chicken drag swab		Sample_Type_SD	environmental swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
fresh manure	fresh manure		Environment_Medium_SD	manure		approved	high	preexisting	none	pass	none
blood or csf	blood or CSF		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
stool fecal sample from asymptomatic human participant	stool (fecal) sample from asymptomatic human participant		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
fresh meat	fresh meat		Isolation_Source_SD	meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
fecal sample from healthy person	fecal sample from healthy person		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
sea shrimp	sea shrimp		Isolation_Source_SD	seafood/aquatic food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
isolated from milk sample taken from dairy farm bulk milk tank	Isolated from milk sample taken from dairy farm bulk milk tank		Isolation_Source_SD	milk	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
pooled four site surveillance swab nares axilla umbilical stump and inguinal region	pooled four-site surveillance swab (nares, axilla, umbilical stump, and inguinal region)		Sample_Type_SD	nasal swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
csf or blood culture	CSF or blood culture		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
bos taurus ncbitaxon 9913 fecal composite genepio 0004512 animal pen envo 03501387 dairy farm envo 03501416	Bos taurus [NCBITaxon:9913]; Fecal composite [GENEPIO:0004512]; Animal pen [ENVO:03501387]; Dairy farm [ENVO:03501416]		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
airsac swab	Airsac swab		Sample_Type_SD	respiratory swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
swab cavity	swab (cavity)		Sample_Type_SD	swab	clinical/host-associated material	approved	high	preexisting	none	pass	none
chicken carcass rinse	chicken carcass rinse		Isolation_Source_SD	poultry meat/product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
food production environment	Food production environment		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
retail chicken meat	retail chicken meat		Isolation_Source_SD	poultry meat/product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
dairy ice cream	Dairy_Ice cream		Isolation_Source_SD	dairy food	environmental material	approved	high	preexisting	none	pass	none
nrte not ready to eat comminuted poultry exploratory sampling chickens	NRTE (Not-Ready-to-Eat) Comminuted Poultry Exploratory Sampling - Chickens		Isolation_Source_SD	food/food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
broiler meat	broiler, meat		Isolation_Source_SD	meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
blood from patient with bacteremia	blood from patient with bacteremia		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
chicken manure swab	chicken manure swab		Sample_Type_SD	food/animal-production swab	environmental/food-production sample	approved	high	preexisting	none	pass	none
pork samples	Pork samples		Isolation_Source_SD	pork/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
meat from wet market	meat from wet market		Isolation_Source_SD	meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
freshwater fish	Freshwater fish		Environment_Medium_SD	freshwater	environmental material	approved	high	preexisting	none	pass	none
fecal sludge	Fecal sludge		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
wild deer faeces	Wild Deer Faeces		Sample_Type_SD	feces/stool	feces/gut/intestinal material	approved	high	preexisting	none	pass	none
environmental seafood processing environment	Environmental - Seafood processing environment		Isolation_Source_SD	seafood/aquatic food product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
phyllosphere metagenome of oryza sativa	phyllosphere_metagenome_of_Oryza sativa		Sample_Type_SD	metagenomic assembly	metadata descriptor / non-source	approved	high	preexisting	none	pass	none
pork ground meat	Pork (ground meat)		Isolation_Source_SD	pork/meat product	food/source material	approved	high	preexisting	review_signal_legacy_rule_broad_value	review	runtime broad-category QA is authoritative; review legacy rule broad label when touched
sputum bile bronchoalveolar lavage fluid balf blood and other clinical specimens	sputum, bile, bronchoalveolar lavage fluid (BALF), blood and other clinical specimens		Isolation_Site_SD	blood	clinical/host-associated material	approved	high	preexisting	none	pass	none
